id,title,content,user_id,created_at,updated_at
12,Anna Bida,"The implementation of Valocracy in  enables the recognition and valuation of contributions in a fair, transparent, and distributed way, without relying on traditional hierarchical structures. By using rarities and calculating the weight of activities based on effort and impact, Valocracy promotes autonomy with accountability, fosters social and economic innovation, and strengthens collaborative ecosystems â€” all essential for the development of a regenerative, values-driven pop-up city.",,2025-05-05T10:35:00.000Z,2025-05-05T10:35:00.000Z
13,Time Climb,A platform for tokenizing your time and transforming it into a tradable economy.,,2025-05-02T09:45:00.000Z,2025-05-02T09:45:00.000Z
14,resilient.edu,It is a Learn to Earn platform that connects rural apprentices with global peers and planetary cycles,,2025-05-02T13:08:00.000Z,2025-05-02T13:08:00.000Z
15,IpÃª Community App,"Central hub to claim passport, follow community, apps, members, launch projects, perform payments.",,2025-05-02T17:40:00.000Z,2025-05-02T17:40:00.000Z
16,IpÃª Mind Tree,"IMT (IpÃª Mind Tree) is a DracoLogos initiative, with a mission to spark a vibrant egregore of connected minds. We're igniting innovation and collaboration within the IpÃª City community and far beyond. Inspired by collective wisdom and a vision of a seamlessly integrated future, IMT is your launchpad for sharing ideas, projects, and resources. We're here to cultivate groundbreaking solutions and forge stronger bonds among IpÃª City participants. We believe that by connecting creative and passionate minds, we can co-create a more thriving, sustainable, and interconnected world for everyone.",,2025-05-05T10:01:00.000Z,2025-05-05T10:01:00.000Z
17,JUNO ğŸ¾/acc,"JUNO is built on a simple idea: celebrate play, support movement and connection, and reward loyalty. ğŸƒâ€â™‚ï¸ Celebrate Play Each throw, each fetch, and each moment away from a screen becomes a small act of healing and joy. ğŸ”— Support Movement & Connection Activities recorded on-chain, but lived fully in the real world with real connections. ğŸ¾ Reward Loyalty Just like our canine friends, we value loyalty and consistent engagement with our community. \""Unleash play. Reward loyalty. Heal the founders. Empower the paw.\"",,""2025-05-05T10:03:00.000Z",2025-05-05T10:03:00.000Z,,
18,Daily lunch,Easy registration and payment process for people who would like to have lunch,,2025-05-05T10:06:00.000Z,2025-05-05T10:06:00.000Z
19,Beer tap,"This is a complex project with multiple parts. The first part involves making beer purchasable through the web shop, which Chris has completed. After a successful payment, a webhook is sent to the backend, which verifies the payment and sends a message to the hardware that opens the valve so you can pour yourself a beer",,2025-05-05T10:15:00.000Z,2025-05-05T10:15:00.000Z
20,Pullup record in Founders Haus,"The goal is to keep a leaderboard of the maximum amount of pullups someone can achieve using the pullup rings. Records need to be witnessed and people can attest they saw the achievement. It needs to be simple and clear, while still being trustless",,2025-05-05T11:03:00.000Z,2025-05-05T11:03:00.000Z
21,Poker rewards,"Facilitate poker nights with a shared wallet to collect the bets and distribute to the winner. 70% for the winner, 30% for number 2, potentially changing the rules in the future.",,2025-05-05T11:06:00.000Z,2025-05-05T11:06:00.000Z
22,Regenerative Governance Platform | Prototyping Sessions,We will be building layers for a Governance platform that incentives regen behaviour. 1) Governance and coordination layer 2) Self sovereign identity & data layer 3) Criptoeconomic and real resource management layer 4) Education & Knowledge layer,,2025-05-06T09:51:00.000Z,2025-05-06T09:51:00.000Z
23,RideFlow,RideFlow helps event organizers to create a better participant experience in remote locations.,,2025-05-06T09:28:00.000Z,2025-05-06T09:28:00.000Z
24,Unlocking Door With IpÃª Passport,Yodl App using IpÃª Passport to unlock the main door between 8-18hs Monday to Friday,,2025-05-02T09:52:00.000Z,2025-05-02T09:52:00.000Z
25,IpÃª Ramp Center,"ğŸŒ± Ramp Center v1 â€“ Building Connections, One Provider at a Time Ramp Center is a lightweight, self-custodial tool designed to help users discover and connect with crypto ramp providers around the world. In this first version, weâ€™re focusing on simplicity, usability, and community input. Built for the IpÃª Network and aligned with its vision of regenerative, sovereign tech, Ramp Center v1 lets users: â€¢ View ramp providers and the countries they support, â€¢ Save their provider account addresses locally (no login required), â€¢ Connect a wallet and send tokens easily, â€¢ Request support for new providers through the community (Talk with Julia) ğŸ’¡ Ramp Center is on IpÃª APP! IpÃª citizens are invited to help shape its futureâ€”reach out to request new providers, suggest improvements, and co-create the infrastructure we all need. This is more than a product. Itâ€™s a commitment to accessible tools, open coordination, and the emergence of a more inclusive on-chain ecosystem.",,2025-05-02T15:02:00.000Z,2025-05-02T15:02:00.000Z
